Size,Diameter,Amplitude,Width,Frequency,Validity
79.7,53.4,87.0,50.0,60,Valid
77.3,52.9,88,50.0,60,Valid
48.8,45.3,89.0,50.0,60,Valid
73.0,51.9,90.0,50.0,60,Valid
34.6,40.4,30.0,50.0,60,Valid
20.7,34.1,30.0,40.0,60,Valid
41.4,42.9,30.0,60.0,60,Valid
42.2,43.2,30.0,60.0,60,Valid
56.4,47.6,30.0,70.0,60,Valid
33.7,40.1,30.0,80.0,60,Valid
35.6,40.8,30.0,80.0,60,Valid
68.7,50.8,30.0,90.0,60,Valid
5.1,21.3,30.0,70.0,60,Valid
39.4,42.2,30.0,60.0,60,Valid
33.1,39.8,30.0,51,60,Valid
34.2,40.3,30.0,52.0,60,Valid
35.6,40.8,30.0,53.0,60,Valid
37.9,41.7,30.0,54,60,Valid
40.7,42.7,30.0,55.0,60,Valid
43.4,43.6,30.0,56.0,60,Valid
45.7,44.4,30.0,57.0,60,Valid
46.8,44.7,30.0,58.0,60,Valid
45.6,44.3,30.0,59.0,60,Valid
38.9,42.0,30.0,60.0,60,Valid
35.8,40.9,30.0,61,60,Valid
29.7,38.4,30.0,62.0,60,Valid
