Size,Diameter,Amplitude,Width,Frequency,Image,Validity
32.3,39.5,40.0,50.0,60,Screenshot 2025-04-18 151405.png,Valid
36.8,41.3,40.0,50.0,60,Screenshot 2025-04-18 151407.png,Valid
62.0,49.1,60.0,50.0,60,Screenshot 2025-04-18 151611.png,Valid
67.1,50.4,60.0,50.0,60,Screenshot 2025-04-18 151604.png,Valid
33.1,39.8,40.0,50.0,60,Screenshot 2025-04-18 151412.png,Valid
32.2,39.5,30.0,50.0,60,Screenshot 2025-04-18 151758.png,Valid
37.5,41.5,40.0,50.0,60,Screenshot 2025-04-18 151416.png,Valid
32.6,39.7,40.0,50.0,60,Screenshot 2025-04-18 151358.png,Invalid
60.5,48.7,60.0,50.0,60,Screenshot 2025-04-18 151600.png,Valid
32.6,39.7,40.0,50.0,60,Screenshot 2025-04-18 151401.png,Invalid
60.7,48.8,60.0,50.0,60,Screenshot 2025-04-18 151602.png,Valid
32.6,39.7,40.0,50.0,60,Screenshot 2025-04-18 151400.png,Invalid
36.6,41.2,40.0,50.0,60,Screenshot 2025-04-18 151414.png,Valid
15.1,30.7,60.0,50.0,60,Screenshot 2025-04-18 151548.png,Valid
29.8,38.5,30.0,50.0,600,Screenshot 2025-04-18 145444.png,Valid
46.4,44.6,30.0,80.0,200,Screenshot 2025-04-18 144216.png,Valid
20.4,33.9,25.0,40.0,100,Screenshot 2025-04-18 144607.png,Valid
46.1,44.5,45,80.0,200,Screenshot 2025-04-18 144407.png,Valid
18.8,33.0,40.0,50.0,400,Screenshot 2025-04-18 145309.png,Valid
36.0,41.0,35,50.0,600,Screenshot 2025-04-18 145447.png,Valid
20.2,33.8,35.0,50.0,300,Screenshot 2025-04-18 145137.png,Valid
45.8,44.4,30,80.0,200,Screenshot 2025-04-18 144348.png,Valid
44.8,44.1,50,80.0,200,Screenshot 2025-04-18 144412.png,Valid
28.6,37.9,30.0,80.0,400,Screenshot 2025-04-18 144204.png,Valid
28.9,38.1,30.0,50.0,200,Screenshot 2025-04-18 144826.png,Valid
30.4,38.7,40.0,80.0,200,Screenshot 2025-04-18 144401.png,Valid
31.6,39.2,30.0,80.0,600,Screenshot 2025-04-18 144011.png,Valid
17.0,31.9,35.0,50.0,300,Screenshot 2025-04-18 145119.png,Valid
53.0,46.6,30.0,80.0,300,Screenshot 2025-04-18 144212.png,Valid
33.3,39.9,35,50.0,200,Screenshot 2025-04-18 144842.png,Valid
69.1,50.9,30.0,80.0,600,Screenshot 2025-04-18 144248.png,Valid
13.0,29.2,45,50.0,300,Screenshot 2025-04-18 145156.png,Valid
38.1,41.8,45,50.0,100,Screenshot 2025-04-18 144704.png,Valid
17.9,32.5,60.0,50.0,300,Screenshot 2025-04-18 145222.png,Invalid
38.4,41.8,45.0,50.0,500,Screenshot 2025-04-18 145357.png,Valid
57.2,47.8,50,50.0,100,Screenshot 2025-04-18 144707.png,Valid
18.0,32.5,30.0,50.0,400,Screenshot 2025-04-18 145233.png,Valid
52.8,46.6,55.0,50.0,500,Screenshot 2025-04-18 145421.png,Valid
48.8,45.3,50.0,50.0,500,Screenshot 2025-04-18 145409.png,Valid
18.4,32.8,40.0,50.0,300,Screenshot 2025-04-18 145151.png,Valid
63.3,49.4,30.0,80.0,100,Screenshot 2025-04-18 143910.png,Valid
32.4,39.6,45.0,50.0,200,Screenshot 2025-04-18 144853.png,Valid
